id_pdv;id_sku;fecha_min;fecha_max;anio_semana_min;anio_semana_max;count_nonzero;sum_cantidad;fecha;anio_semana;cantidad;cantidad_neta;cantidad_bruta;venta;venta_neta;venta_bruta;volumen_neto;volumen_bruto;precio
323606;116;30/09/2021;01/10/2021;202139;202139;1;18;30/09/2021;202139;18;18;18;799.56;799.56;799.56;4.500;4.500;44.42
323606;116;30/09/2021;01/10/2021;202139;202139;1;18;01/10/2021;202139;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
323606;294;30/09/2021;08/10/2021;202139;202140;3;148;30/09/2021;202139;46;46;46;2023.54;2023.54;2023.54;23.000;23.000;43.99
323606;294;30/09/2021;08/10/2021;202139;202140;3;148;01/10/2021;202139;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
323606;384;30/09/2021;12/10/2021;202139;202141;4;118;30/09/2021;202139;16;16;16;911.68;911.68;911.68;7.200;7.200;56.98
323606;384;30/09/2021;12/10/2021;202139;202141;4;118;01/10/2021;202139;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
323606;542;30/09/2021;11/04/2022;202139;202215;49;1659;30/09/2021;202139;23;23;23;1496.84;1496.84;1496.84;5.750;5.750;65.08
323606;542;30/09/2021;11/04/2022;202139;202215;49;1659;01/10/2021;202139;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
323606;975;30/09/2021;08/10/2021;202139;202140;2;33;30/09/2021;202139;13;13;13;331.50;331.50;331.50;3.458;3.458;25.50
323606;975;30/09/2021;08/10/2021;202139;202140;2;33;01/10/2021;202139;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
323606;2741;30/09/2021;15/10/2021;202139;202141;3;41;30/09/2021;202139;9;9;9;414.81;414.81;414.81;2.250;2.250;46.09
323606;2741;30/09/2021;15/10/2021;202139;202141;3;41;01/10/2021;202139;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
323606;2749;30/09/2021;29/10/2021;202139;202143;8;250;30/09/2021;202139;39;39;39;1788.54;1788.54;1788.54;19.500;19.500;45.86
323606;2749;30/09/2021;29/10/2021;202139;202143;8;250;01/10/2021;202139;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
323606;4464;30/09/2021;09/10/2021;202139;202140;1;7;30/09/2021;202139;7;7;7;426.79;426.79;426.79;3.024;3.024;60.97
323606;4464;30/09/2021;09/10/2021;202139;202140;1;7;01/10/2021;202139;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
612296;116;01/10/2021;01/10/2021;202139;202139;1;2;01/10/2021;202139;2;2;2;96.60;96.60;96.60;0.500;0.500;48.30
612312;294;01/10/2021;08/10/2021;202139;202140;2;6;01/10/2021;202139;3;3;3;150.30;150.30;150.30;1.500;1.500;50.10
612458;116;30/09/2021;30/09/2021;202139;202139;0;0;30/09/2021;202139;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
612630;116;02/10/2021;02/10/2021;202139;202139;1;10;02/10/2021;202139;10;10;10;474.00;474.00;474.00;2.500;2.500;47.40
612630;4464;02/10/2021;02/10/2021;202139;202139;1;18;02/10/2021;202139;18;18;18;880.20;880.20;880.20;7.776;7.776;48.90
612631;116;02/10/2021;02/10/2021;202139;202139;1;4;02/10/2021;202139;4;4;4;189.60;189.60;189.60;1.000;1.000;47.40
612641;116;02/10/2021;02/10/2021;202139;202139;1;16;02/10/2021;202139;16;16;16;758.40;758.40;758.40;4.000;4.000;47.40
612641;294;02/10/2021;09/10/2021;202139;202140;2;8;02/10/2021;202139;4;4;4;200.40;200.40;200.40;2.000;2.000;50.10
612653;116;02/10/2021;02/10/2021;202139;202139;1;13;02/10/2021;202139;13;13;13;616.20;616.20;616.20;3.250;3.250;47.40
612653;294;02/10/2021;09/10/2021;202139;202140;2;13;02/10/2021;202139;7;7;7;350.70;350.70;350.70;3.500;3.500;50.10
612654;116;02/10/2021;02/10/2021;202139;202139;0;0;02/10/2021;202139;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
612712;116;02/10/2021;02/10/2021;202139;202139;1;20;02/10/2021;202139;20;20;20;948.00;948.00;948.00;5.000;5.000;47.40
612958;294;01/10/2021;08/10/2021;202139;202140;3;15;01/10/2021;202139;6;6;6;300.60;300.60;300.60;3.000;3.000;50.10
612978;294;30/09/2021;30/09/2021;202139;202139;1;2;30/09/2021;202139;2;2;2;102.20;102.20;102.20;1.000;1.000;51.10
613001;4464;30/09/2021;30/09/2021;202139;202139;1;1;30/09/2021;202139;1;1;1;50.00;50.00;50.00;0.432;0.432;50.00
613187;116;30/09/2021;30/09/2021;202139;202139;1;1;30/09/2021;202139;1;1;1;47.40;47.40;47.40;0.250;0.250;47.40
613187;294;30/09/2021;30/09/2021;202139;202139;1;2;30/09/2021;202139;2;2;2;100.20;100.20;100.20;1.000;1.000;50.10
613367;294;30/09/2021;30/09/2021;202139;202139;1;4;30/09/2021;202139;4;4;4;204.40;204.40;204.40;2.000;2.000;51.10
613370;116;30/09/2021;30/09/2021;202139;202139;1;2;30/09/2021;202139;2;2;2;94.80;94.80;94.80;0.500;0.500;47.40
613597;116;02/10/2021;02/10/2021;202139;202139;1;3;02/10/2021;202139;3;3;3;144.90;144.90;144.90;0.750;0.750;48.30
